Customer_ID,Name,Credit_Score_Anterior,Pred_RandomForest,Pred_XGBoost,Pred_LightGBM,Pred_DecisionTree,Pred_KNN,Pred_LogisticRegression,Pred_NaiveBayes
CUS_0x1000,AlistairBarrf,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1000,AlistairBarrf,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1000,AlistairBarrf,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1000,AlistairBarrf,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1009,Arunah,Standard,Standard,Standard,Standard,Standard,Standard,Good,Standard
CUS_0x1009,Arunah,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1009,Arunah,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1009,Arunah,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x100b,Shirboni,Standard,Good,Good,Good,Good,Good,Poor,Standard
CUS_0x100b,Shirboni,Standard,Good,Good,Good,Good,Good,Poor,Standard
CUS_0x100b,Shirboni,Standard,Good,Good,Good,Good,Good,Poor,Standard
CUS_0x1011,Schneyerh,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1011,Schneyerh,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1011,Schneyerh,Standard,Standard,Standard,Standard,Good,Good,Poor,Standard
CUS_0x1011,Schneyerh,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1013,Cameront,Standard,Good,Good,Good,Good,Standard,Good,Good
CUS_0x1013,Cameront,Standard,Good,Good,Good,Good,Standard,Good,Good
CUS_0x1013,Cameront,Standard,Good,Good,Good,Good,Standard,Good,Good
CUS_0x1015,Holtono,Good,Standard,Standard,Standard,Standard,Good,Standard,Standard
CUS_0x1015,Holtono,Good,Standard,Standard,Standard,Standard,Standard,Good,Standard
CUS_0x1015,Holtono,Good,Standard,Standard,Standard,Standard,Standard,Standard,Standard
CUS_0x1015,Holtono,Good,Standard,Standard,Standard,Standard,Standard,Standard,Standard
CUS_0x1018,Felsenthalq,Poor,Poor,Poor,Standard,Standard,Standard,Poor,Standard
CUS_0x1018,Felsenthalq,Poor,Poor,Poor,Standard,Poor,Poor,Poor,Standard
CUS_0x1018,Felsenthalq,Poor,Poor,Poor,Standard,Poor,Poor,Poor,Standard
CUS_0x1018,Felsenthalq,Poor,Poor,Standard,Standard,Poor,Poor,Poor,Standard
CUS_0x1026,Josephv,Standard,Good,Good,Good,Good,Standard,Good,Good
CUS_0x1026,Josephv,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x1026,Josephv,Standard,Good,Good,Good,Good,Standard,Good,Good
CUS_0x1026,Josephv,Standard,Good,Good,Good,Good,Standard,Good,Good
CUS_0x102d,NeilChatterjeex,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x102d,NeilChatterjeex,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x102d,NeilChatterjeex,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x102e,Rhysn,Poor,Standard,Standard,Standard,Good,Standard,Poor,Standard
CUS_0x102e,Rhysn,Poor,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x102e,Rhysn,Poor,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x102e,Rhysn,Poor,Standard,Standard,Standard,Standard,Poor,Poor,Standard
CUS_0x1032,Wahbap,Standard,Poor,Standard,Poor,Poor,Standard,Poor,Standard
CUS_0x1032,Wahbap,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1032,Wahbap,Standard,Poor,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1032,Wahbap,Standard,Poor,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1037,Matthewm,Good,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x1037,Matthewm,Good,Standard,Good,Good,Standard,Good,Good,Standard
CUS_0x1037,Matthewm,Good,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x1037,Matthewm,Good,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x1038,B.h,Good,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1038,B.h,Good,Standard,Standard,Standard,Standard,Good,Poor,Standard
